11664ec0-1b09-4891-9c73-37fef48a6690~Dag 2~Pull-Up With a Neutral Grip~3~7~-1.0~2026-05-18
11664ec0-1b09-4891-9c73-37fef48a6690~Dag 2~Cable Close Grip Seated Row~3~8-10~-1.0~2026-05-18
11664ec0-1b09-4891-9c73-37fef48a6690~Dag 2~EZ Curl~4~10-12~-1.0~2026-05-18
11664ec0-1b09-4891-9c73-37fef48a6690~Dag 2~Lat Pulldown With Neutral Grip~4~10-12~-1.0~2026-05-18
11664ec0-1b09-4891-9c73-37fef48a6690~Dag 2~Dumbbell Curl~4~10-12~-1.0~2026-05-18
11664ec0-1b09-4891-9c73-37fef48a6690~Dag 2~Cable Crunch~3~12-15~-1.0~2026-05-18
11664ec0-1b09-4891-9c73-37fef48a6690~Dag 2~Mountain Climbers~3~12-15~-1.0~2026-05-18
7ee41e93-f6b4-4622-80cc-7793a6484dc8~Dag 1~Assisted Dip~3~10-15~20.0~~2026-05-19
7ee41e93-f6b4-4622-80cc-7793a6484dc8~Dag 1~Smith Machine One-Handed Row~3~10-15~15.0~~2026-05-19
7ee41e93-f6b4-4622-80cc-7793a6484dc8~Dag 1~Band-Assisted Bench Press~4~6-8~15.0~~2026-05-19
7ee41e93-f6b4-4622-80cc-7793a6484dc8~Dag 1~Cable Internal Shoulder Rotation~3~12-15~2.5~~2026-05-19
7ee41e93-f6b4-4622-80cc-7793a6484dc8~Dag 1~Cable External Shoulder Rotation~3~12-15~2.5~~2026-05-19
7ee41e93-f6b4-4622-80cc-7793a6484dc8~Dag 1~Rowing Machine~1~15-20 min steady state~-1.0~~2026-05-19
